sold_price,zipcode,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,log_HOA,dishwasher,freezer,refrigerator,oven,garbage disposal,double sink,microwave,compactor,electric range,island,appliance color,gas range,prep sink,countertops granite,desk,lazy susan,pantry walk-in,pantry closet,pantry cabinet,mexican tile,wood,natural stone,other,ceramic tile,carpet,concrete,cbrt_acres,distance,lat_direction,lon_direction
2272554.0,85658,2593.23,2015,3,4.0,4724.0,2.0,1.0,6.31,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.35,24.55,1,0
1768000.0,85658,1795.34,2016,3,4.0,4100.0,3.0,2.0,6.31,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.84,24.1,1,0
1865705.0,85658,1989.9,2018,3,4.0,3300.0,3.0,3.0,4.04,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.85,24.32,1,0
1600000.0,85715,9301.41,2002,5,5.0,5954.0,3.0,4.0,3.89,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.02,7.67,0,1
1675000.0,85745,9083.19,2008,4,4.0,6550.0,3.0,1.0,0.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.5,17.74,0,0
1610000.0,85718,5178.0,2016,4,5.0,4427.0,3.0,1.0,5.04,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4.25,1,0
1600000.0,85718,11720.0,2000,4,7.0,7037.0,3.0,6.0,4.88,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1.52,2.12,0,0
1600000.0,85658,18373.0,2008,4,5.0,6050.0,4.0,5.0,4.89,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.19,22.34,1,0
1647313.0,85750,17095.0,1998,6,8.0,8213.0,4.0,3.0,4.91,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.79,6.21,1,1
1690000.0,85718,13525.0,2005,5,5.0,4779.0,4.0,3.0,5.06,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1.14,4.88,1,0
1695000.0,85658,21602.0,2008,4,5.0,5376.0,3.0,3.0,5.03,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.14,22.73,1,0
1595000.0,85750,15324.8,2000,5,6.0,6938.0,3.0,3.0,3.53,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0.95,6.87,0,1
1375000.0,85658,20352.72,2006,4,6.0,5743.0,4.0,2.0,4.97,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1.36,22.67,1,0
1900000.0,85718,12326.0,1993,4,4.0,5022.0,3.0,4.0,1.79,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1.28,2.62,0,0
1500000.0,85658,15711.3,2007,3,4.0,3670.0,3.0,3.0,4.97,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.27,21.81,1,0
1500000.0,85718,3810.61,2017,4,6.0,5335.0,3.0,3.0,5.06,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.98,3.99,1,0
1550000.0,85658,13138.0,2008,4,5.0,4648.0,3.0,4.0,6.31,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.78,24.33,1,0
1550000.0,85658,14036.42,2009,4,5.0,4207.0,3.0,3.0,4.87,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.89,23.43,1,0
1350000.0,85750,14634.0,1998,5,6.0,6756.0,4.0,2.0,4.77,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.03,7.14,1,1
1600000.0,85718,6122.64,2014,4,6.0,4934.0,3.0,4.0,5.27,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.13,2.59,0,0
1650000.0,85718,19416.38,2009,5,6.0,5870.0,3.0,3.0,5.15,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.0,4.76,1,0
